customer_id,anomaly_rule,sequence_pattern,explanation,timestamps,transaction_details,signal_strength,overall_severity
C1666544295,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 1,864.28 -> 181.00. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=1,864.28 from=C1666544295 to=M2044282225]; [step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]",2,low
C2033524545,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 671.64 -> 215,310.30. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=671.64 from=C2033524545 to=M473053293]; [step=1 type=TRANSFER amount=215,310.30 from=C1670993182 to=C1100439041]",2,low
C280615803,Sudden Type Change,CASH_OUT -> DEBIT,"Abrupt transaction type change: CASH_OUT -> DEBIT in consecutive transactions. Amounts: 82,940.31 -> 4,510.22. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]; [step=1 type=DEBIT amount=4,510.22 from=C280615803 to=C1254526270]",2,low
C460570271,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 2,641.47 -> 23,261.30. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=2,641.47 from=C460570271 to=M1653361344]; [step=1 type=CASH_OUT amount=23,261.30 from=C2072313080 to=C2001112025]",2,low
C484199463,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 13,875.98 -> 56,953.90. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=13,875.98 from=C484199463 to=M2008106788]; [step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,low
C504336483,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 3,876.41 -> 311,685.89. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=3,876.41 from=C504336483 to=M1404932042]; [step=1 type=TRANSFER amount=311,685.89 from=C1984094095 to=C932583850]",2,low
C527211736,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 7,292.16 -> 47,458.86. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=7,292.16 from=C69673470 to=M1082411691]; [step=1 type=CASH_OUT amount=47,458.86 from=C527211736 to=C2096057945]",2,low
C605982374,Zero-Balance Origin Transfer,TRANSFER,"Account C605982374 initiated a TRANSFER of 11,996.58 with a starting balance of 0. Destination: C1225616405. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=11,996.58 from=C605982374 to=C1225616405]",2,low
C69673470,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 7,292.16 -> 47,458.86. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=7,292.16 from=C69673470 to=M1082411691]; [step=1 type=CASH_OUT amount=47,458.86 from=C527211736 to=C2096057945]",2,low
C807322507,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 12,986.61 -> 42,712.39. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=12,986.61 from=C807322507 to=M396485834]; [step=1 type=TRANSFER amount=42,712.39 from=C283039401 to=C1330106945]",2,low
C840083671,Sequential Transfer Then Cash-Out,TRANSFER -> CASH_OUT,TRANSFER of 181.00 by C1305486145 immediately followed by CASH_OUT of 181.00 by C840083671 within 0 time step(s). Rapid TRANSFER -> CASH_OUT sequences are a classic indicator of money laundering.,"1, 1",[step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]; [step=1 type=CASH_OUT amount=181.00 from=C840083671 to=C38997010],2,low
